Sample,Marker,Type
Por28S_MC001,28S,Mock_community
Por28S_MC002,28S,Mock_community
Por28S_MC003,28S,Mock_community
Por28S_WA001,28S,Aquarium
Por28S_WA002,28S,Aquarium
Por28S_WA003,28S,Aquarium
Berry_16S_MC001,Berry_16S,Mock_community
Berry_16S_MC002,Berry_16S,Mock_community
Berry_16S_MC003,Berry_16S,Mock_community
Berry_16S_SP004,Berry_16S,Shark_pen
Berry_16S_SP005,Berry_16S,Shark_pen
Berry_16S_SP006,Berry_16S,Shark_pen
Berry_16S_WA001,Berry_16S,Aquarium
Berry_16S_WA002,Berry_16S,Aquarium
Berry_16S_WA003,Berry_16S,Aquarium
CO1_MC001,CO1,Mock_community
CO1_MC002,CO1,Mock_community
CO1_MC003,CO1,Mock_community
CO1_WA001,CO1,Aquarium
CO1_WA002,CO1,Aquarium
CO1_WA003,CO1,Aquarium
MiFish_E_MC001,MiFish_E,Mock_community
MiFish_E_MC002,MiFish_E,Mock_community
MiFish_E_MC003,MiFish_E,Mock_community
MiFish_E_SP004,MiFish_E,Shark_pen
MiFish_E_SP005,MiFish_E,Shark_pen
MiFish_E_SP006,MiFish_E,Shark_pen
MiFish_E_WA001,MiFish_E,Aquarium
MiFish_E_WA002,MiFish_E,Aquarium
MiFish_E_WA003,MiFish_E,Aquarium
MiFish_U_MC001,MiFish_U,Mock_community
MiFish_U_MC002,MiFish_U,Mock_community
MiFish_U_MC003,MiFish_U,Mock_community
MiFish_U_SP004,MiFish_U,Shark_pen
MiFish_U_SP005,MiFish_U,Shark_pen
MiFish_U_SP006,MiFish_U,Shark_pen
MiFish_U_WA001,MiFish_U,Aquarium
MiFish_U_WA002,MiFish_U,Aquarium
MiFish_U_WA003,MiFish_U,Aquarium
Riaz_12S_MC001,Riaz_12S,Mock_community
Riaz_12S_MC002,Riaz_12S,Mock_community
Riaz_12S_MC003,Riaz_12S,Mock_community
Riaz_12S_SP004,Riaz_12S,Shark_pen
Riaz_12S_SP005,Riaz_12S,Shark_pen
Riaz_12S_SP006,Riaz_12S,Shark_pen
Riaz_12S_WA001,Riaz_12S,Aquarium
Riaz_12S_WA002,Riaz_12S,Aquarium
Riaz_12S_WA003,Riaz_12S,Aquarium